strain	date	genbank	region	country	division	location	host_type	genotype	host	source	latitude	longitude	authors
OR494346|Uruguay|Uruguay_Montevideo|2023-04-13	2023-04-13	OR494346	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494347|Uruguay|Uruguay_Rocha|2023-04-26	2023-04-26	OR494347	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494348|Uruguay|Uruguay_Canelones|2023-05-07	2023-05-07	OR494348	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494349|Uruguay|Uruguay_Montevideo|2023-05-16	2023-05-16	OR494349	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494350|Uruguay|Uruguay_Montevideo|2023-03-05	2023-03-05	OR494350	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494351|Uruguay|Uruguay_Canelones|2023-03-30	2023-03-30	OR494351	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494352|Uruguay|Uruguay_Montevideo|2023-04-08	2023-04-08	OR494352	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR486056|Guadeloupe|Guadeloupe|2019-11	2019-11	OR486056	International	Guadeloupe	International	International	Mosquito	V	Aedes aegypti	NCBI	16.2528827	-61.5686855	Gutierrez-Bugallo,G., Vega-Rua,A.
OR486057|Guadeloupe|Guadeloupe|2019-11	2019-11	OR486057	International	Guadeloupe	International	International	Mosquito	V	Aedes aegypti	NCBI	16.2528827	-61.5686855	Gutierrez-Bugallo,G., Vega-Rua,A.
PQ154994|USA|USA_FL|2023-09-25	2023-09-25	PQ154994	International	USA	International	International	Human	V	Homo sapiens	NCBI	37.090240	-95.712891	Mitchell,M., Tekin,O., Dong,Y.
OR486055|Guadeloupe|Guadeloupe|2013-02	2013-02	OR486055	International	Guadeloupe	International	International	Human	V	Homo sapiens	NCBI	16.2528827	-61.5686855	Gutierrez-Bugallo,G., Vega-Rua,A.
PP982958|Colombia|Colombia|2023-11-23	2023-11-23	PP982958	International	Colombia	International	International	Human	V	Homo sapiens	NCBI	4.099917	-72.9088133	Breban,M.I., Hill,V., Torres,D., Murillo-Ortiz,M.A., Davalos,D., Hurtado,I.C., Lopez,E., Grubaugh,N.D.
PP982959|Colombia|Colombia|2023-09-11	2023-09-11	PP982959	International	Colombia	International	International	Human	V	Homo sapiens	NCBI	4.099917	-72.9088133	Breban,M.I., Hill,V., Torres,D., Murillo-Ortiz,M.A., Davalos,D., Hurtado,I.C., Lopez,E., Grubaugh,N.D.
PP982960|Colombia|Colombia|2023-09-21	2023-09-21	PP982960	International	Colombia	International	International	Human	V	Homo sapiens	NCBI	4.099917	-72.9088133	Breban,M.I., Hill,V., Torres,D., Murillo-Ortiz,M.A., Davalos,D., Hurtado,I.C., Lopez,E., Grubaugh,N.D.
PP982961|Colombia|Colombia|2023-08-26	2023-08-26	PP982961	International	Colombia	International	International	Human	V	Homo sapiens	NCBI	4.099917	-72.9088133	Breban,M.I., Hill,V., Torres,D., Murillo-Ortiz,M.A., Davalos,D., Hurtado,I.C., Lopez,E., Grubaugh,N.D.
PP982962|Colombia|Colombia|2023-08-30	2023-08-30	PP982962	International	Colombia	International	International	Human	V	Homo sapiens	NCBI	4.099917	-72.9088133	Breban,M.I., Hill,V., Torres,D., Murillo-Ortiz,M.A., Davalos,D., Hurtado,I.C., Lopez,E., Grubaugh,N.D.
PP982963|Colombia|Colombia|2023-09-13	2023-09-13	PP982963	International	Colombia	International	International	Human	V	Homo sapiens	NCBI	4.099917	-72.9088133	Breban,M.I., Hill,V., Torres,D., Murillo-Ortiz,M.A., Davalos,D., Hurtado,I.C., Lopez,E., Grubaugh,N.D.
PP982964|Colombia|Colombia|2023-11-12	2023-11-12	PP982964	International	Colombia	International	International	Human	V	Homo sapiens	NCBI	4.099917	-72.9088133	Breban,M.I., Hill,V., Torres,D., Murillo-Ortiz,M.A., Davalos,D., Hurtado,I.C., Lopez,E., Grubaugh,N.D.
PP709307|USA|USA_FL|2023-11-28	2023-11-28	PP709307	International	USA	International	International	Human	V	Homo sapiens	NCBI	37.090240	-95.712891	Mitchell,M., Tekin,O., Dong,Y.
PP709309|USA|USA_FL|2023-11-20	2023-11-20	PP709309	International	USA	International	International	Human	V	Homo sapiens	NCBI	37.090240	-95.712891	Mitchell,M., Tekin,O., Dong,Y.
PP709310|USA|USA_FL|2022-11-04	2022-11-04	PP709310	International	USA	International	International	Human	V	Homo sapiens	NCBI	37.090240	-95.712891	Mitchell,M., Tekin,O., Dong,Y.
OR523627|Brazil|North|TO|Palmas|2022-07-12	2022-07-12	OR523627	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Barreto,H.G., Manuli,E.R., Santos,G.C.A., Sabino,E.C., Milagres,F.A.P.
PP234945|DominicanRepublic|DominicanRepublic|2019-07-01	2019-07-01	PP234945	International	Dominican Republic	International	International	Human	V	Homo sapiens	NCBI	19.0974031	-70.3028026	Camprubi-Ferrer,D., Tomazatos,A., Balerdi-Sarasola,L., Cobuccio,L., Van Den Broucke,S., Horvath,B., Van Esbroeck,M., Martinez,M., Gandasegui,J., Subira,C., Cruz,A., Saloni,M., Genton,B., Bottieau,E., Cadar,D., Munoz,J.
PP234962|Colombia|Colombia|2018-07-01	2018-07-01	PP234962	International	Colombia	International	International	Human	V	Homo sapiens	NCBI	4.099917	-72.9088133	Camprubi-Ferrer,D., Tomazatos,A., Balerdi-Sarasola,L., Cobuccio,L., Van Den Broucke,S., Horvath,B., Van Esbroeck,M., Martinez,M., Gandasegui,J., Subira,C., Cruz,A., Saloni,M., Genton,B., Bottieau,E., Cadar,D., Munoz,J.
OR575179|Italy|Italy|2023-09-08	2023-09-08	OR575179	International	Italy	International	International	Human	V	Homo sapiens	NCBI	42.6384261	12.674297	De Carli,G., Carletti,F., Spaziante,M., Gruber,C.E.M., Rueca,M., Spezia,P.G., Vantaggio,V., Barca,A., De Liberato,C., Romiti,F., Scicluna,M.T., Vaglio,S., Feccia,M., Di Rosa,E., Gianzi,F.P., Giambi,C., Scognamiglio,P., Nicastri,E., Girardi,E., Maggi,F., Vairo,F., Specchiarello,E.
OR581581|Italy|Italy|2023-09-08	2023-09-08	OR581581	International	Italy	International	International	Human	V	Homo sapiens	NCBI	42.6384261	12.674297	De Carli,G., Carletti,F., Spaziante,M., Gruber,C.E.M., Rueca,M., Spezia,P.G., Vantaggio,V., Barca,A., De Liberato,C., Romiti,F., Scicluna,M.T., Vaglio,S., Feccia,M., Di Rosa,E., Gianzi,F.P., Giambi,C., Scognamiglio,P., Nicastri,E., Girardi,E., Maggi,F., Vairo,F., Specchiarello,E.
OR771117|USA|USA_FL|2023-03-08	2023-03-08	OR771117	International	USA	International	International	Human	V	Homo sapiens	NCBI	37.090240	-95.712891	Mitchell,M., Tekin,O., Dong,Y.
OR771122|USA|USA_FL|2023-05-17	2023-05-17	OR771122	International	USA	International	International	Human	V	Homo sapiens	NCBI	37.090240	-95.712891	Mitchell,M., Tekin,O., Dong,Y.
OR771159|USA|USA_FL|2023-08-23	2023-08-23	OR771159	International	USA	International	International	Human	V	Homo sapiens	NCBI	37.090240	-95.712891	Mitchell,M., Tekin,O., Dong,Y.
OR771173|USA|USA_FL|2023-09-13	2023-09-13	OR771173	International	USA	International	International	Human	V	Homo sapiens	NCBI	37.090240	-95.712891	Mitchell,M., Tekin,O., Dong,Y.
OR518216|Brazil|North|TO|Darcinopolis|2021-11-24	2021-11-24	OR518216	North	Brazil	Tocantins	Darcinopolis	Human	V	Homo sapiens	NCBI	-6.7085964	-47.7524283	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518217|Brazil|North|TO|Araguaina|2021-11-25	2021-11-25	OR518217	North	Brazil	Tocantins	Araguaina	Human	V	Homo sapiens	NCBI	-7.193241	-48.2018597	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518218|Brazil|North|TO|Palmas|2021-11-22	2021-11-22	OR518218	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518219|Brazil|North|TO|Palmas|2021-11-22	2021-11-22	OR518219	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518220|Brazil|North|TO|Palmas|2021-11-22	2021-11-22	OR518220	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518221|Brazil|North|TO|Duere|2021-11-25	2021-11-25	OR518221	North	Brazil	Tocantins	Duere	Human	V	Homo sapiens	NCBI	-11.341631	-49.271566	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518222|Brazil|North|TO|Tocantinopolis|2021-11-23	2021-11-23	OR518222	North	Brazil	Tocantins	Tocantinopolis	Human	V	Homo sapiens	NCBI	-6.3280931	-47.4217673	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518223|Brazil|North|TO|Araguaina|2021-11-24	2021-11-24	OR518223	North	Brazil	Tocantins	Araguaina	Human	V	Homo sapiens	NCBI	-7.193241	-48.2018597	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518224|Brazil|North|TO|Nazare|2021-11-24	2021-11-24	OR518224	North	Brazil	Tocantins	Nazare	Human	V	Homo sapiens	NCBI	-6.3733313	-47.6632702	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518225|Brazil|North|TO|Duere|2021-11-23	2021-11-23	OR518225	North	Brazil	Tocantins	Duere	Human	V	Homo sapiens	NCBI	-11.341631	-49.271566	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518226|Brazil|North|TO|Palmas|2021-11-25	2021-11-25	OR518226	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518227|Brazil|North|TO|Palmas|2021-11-25	2021-11-25	OR518227	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518228|Brazil|North|TO|Palmas|2021-11-26	2021-11-26	OR518228	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518229|Brazil|North|TO|Palmas|2021-11-26	2021-11-26	OR518229	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518230|Brazil|North|TO|Palmas|2021-11-28	2021-11-28	OR518230	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518231|Brazil|North|TO|Palmas|2021-11-29	2021-11-29	OR518231	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518232|Brazil|North|TO|Porto_Nacional|2021-11-29	2021-11-29	OR518232	North	Brazil	Tocantins	Porto Nacional	Human	V	Homo sapiens	NCBI	-10.7019786	-48.4110952	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518233|Brazil|North|TO|Porto_Nacional|2021-11-29	2021-11-29	OR518233	North	Brazil	Tocantins	Porto Nacional	Human	V	Homo sapiens	NCBI	-10.7019786	-48.4110952	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518234|Brazil|North|TO|Porto_Nacional|2021-11-29	2021-11-29	OR518234	North	Brazil	Tocantins	Porto Nacional	Human	V	Homo sapiens	NCBI	-10.7019786	-48.4110952	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518235|Brazil|North|TO|Porto_Nacional|2021-11-29	2021-11-29	OR518235	North	Brazil	Tocantins	Porto Nacional	Human	V	Homo sapiens	NCBI	-10.7019786	-48.4110952	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518236|Brazil|North|TO|Rio_dos_Bios|2021-11-29	2021-11-29	OR518236	North	Brazil	Tocantins	Rio dos Bios	Human	V	Homo sapiens	NCBI	-9.343684	-48.535524	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518237|Brazil|North|TO|Wanderlandia|2021-11-29	2021-11-29	OR518237	North	Brazil	Tocantins	Wanderlandia	Human	V	Homo sapiens	NCBI	-6.8522727	-47.9653917	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518238|Brazil|North|TO|Porto_Nacional|2021-11-30	2021-11-30	OR518238	North	Brazil	Tocantins	Porto Nacional	Human	V	Homo sapiens	NCBI	-10.7019786	-48.4110952	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518239|Brazil|North|TO|Porto_Nacional|2021-11-30	2021-11-30	OR518239	North	Brazil	Tocantins	Porto Nacional	Human	V	Homo sapiens	NCBI	-10.7019786	-48.4110952	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518240|Brazil|North|TO|Porto_Nacional|2021-12-01	2021-12-01	OR518240	North	Brazil	Tocantins	Porto Nacional	Human	V	Homo sapiens	NCBI	-10.7019786	-48.4110952	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518241|Brazil|North|TO|Palmas|2021-12-02	2021-12-02	OR518241	North	Brazil	Tocantins	Palmas	Human	V	Homo sapiens	NCBI	-10.1837852	-48.3336423	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518242|Brazil|North|TO|Porto_Nacional|2021-12-02	2021-12-02	OR518242	North	Brazil	Tocantins	Porto Nacional	Human	V	Homo sapiens	NCBI	-10.7019786	-48.4110952	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
OR518243|Brazil|North|TO|Porto_Nacional|2021-12-02	2021-12-02	OR518243	North	Brazil	Tocantins	Porto Nacional	Human	V	Homo sapiens	NCBI	-10.7019786	-48.4110952	Souza,U.J.B., Macedo,Y.S.M., Santos,R.N., Cardoso,F.D.P., Galvao,J.D., Gabev,E.E., Franco,A.C., Roehe,P.M., Spilki,F.R., Campos,F.S.
